S,I,R,S2I,I2R
325826940.0,2107054.0,1130935.0,46952.0,13084.0
325767870.0,2154928.0,1142146.0,47874.0,11211.0
325709060.0,2187742.0,1168127.0,32814.0,25981.0
325641630.0,2237090.0,1186206.0,49348.0,18079.0
325574000.0,2276969.0,1213962.0,39879.0,27756.0
325496900.0,2338358.0,1229675.0,61389.0,15713.0
325425200.0,2392538.0,1247167.0,54180.0,17492.0
325362750.0,2438629.0,1263545.0,46091.0,16378.0
325302050.0,2490491.0,1272399.0,51862.0,8854.0
325240580.0,2522479.0,1301889.0,31988.0,29490.0
325176320.0,2563678.0,1324921.0,41199.0,23032.0
325104420.0,2605550.0,1354972.0,41872.0,30051.0
325035870.0,2650554.0,1378484.0,45004.0,23512.0
324962700.0,2694272.0,1407969.0,43718.0,29485.0
324897300.0,2740969.0,1426647.0,46697.0,18678.0
324842460.0,2776901.0,1445579.0,35932.0,18932.0
324786530.0,2803788.0,1474639.0,26887.0,29060.0
324720700.0,2838645.0,1505567.0,34857.0,30928.0
324648900.0,2874984.0,1541060.0,36339.0,35493.0
324581280.0,2916637.0,1567006.0,41653.0,25946.0
324513380.0,2959301.0,1592253.0,42664.0,25247.0
324455550.0,2992303.0,1617087.0,33002.0,24834.0
324409280.0,3031360.0,1624302.0,39057.0,7215.0
324364700.0,3030631.0,1669598.0,0.0,45296.0
324307420.0,3071007.0,1686505.0,40376.0,16907.0
324252960.0,3075192.0,1736753.0,4185.0,50248.0
324193500.0,3112652.0,1758774.0,37460.0,22021.0
324135200.0,3144490.0,1785258.0,31838.0,26484.0
324080740.0,3178608.0,1805588.0,34118.0,20330.0
324034370.0,3210716.0,1819850.0,32108.0,14262.0
323985630.0,3245031.0,1834268.0,34315.0,14418.0
323938700.0,3246683.0,1879541.0,1652.0,45273.0
323881920.0,3263173.0,1919847.0,16490.0,40306.0
323830180.0,3292963.0,1941799.0,29790.0,21952.0
323765380.0,3334706.0,1964820.0,41743.0,23021.0
323718620.0,3358251.0,1988051.0,23545.0,23231.0
323677440.0,3384317.0,2003166.0,26066.0,15115.0
323640930.0,3387875.0,2036125.0,3558.0,32959.0
323595870.0,3399002.0,2070035.0,11127.0,33910.0
323548540.0,3418152.0,2098256.0,19150.0,28221.0
323504450.0,3439175.0,2121320.0,21023.0,23064.0
323456200.0,3468296.0,2140452.0,29121.0,19132.0
323412540.0,3490537.0,2161864.0,22241.0,21412.0
323378080.0,3512262.0,2174596.0,21725.0,12732.0
323341600.0,3525290.0,2198053.0,13028.0,23457.0
323301630.0,3531114.0,2232208.0,5824.0,34155.0
323256100.0,3544640.0,2264202.0,13526.0,31994.0
323210940.0,3571795.0,2282167.0,27155.0,17965.0
323164030.0,3600711.0,2300180.0,28916.0,18013.0
323118700.0,3622854.0,2323391.0,22143.0,23211.0
323083900.0,3644004.0,2337028.0,21150.0,13637.0
